,,,,,,
,Зарегистрированные преступления.  ,2015  ,2016  ,2017  ,2015  ,
,,,,288  19  ,500  00  ,
,,,,,"1,00.  ",
,Разбойные нападения  ,,,,,
,Мошенничество (ст.159 — ст. 159 пр.6)  ,56.  ,67.  ,79.  ,11.00  ,
,,,,1.00  ,0.00  ,
,Умыш. уничтожение или поврежден. чужого имущества.  ,12  ,14  ,14  ,,
